"Hostname","IP","Platform","Capabilities","Local Interface","Remote Interface","Version"
"SKY-NX-B.sky.ncl.com(FDO20450754)","10.35.0.8","N9K-C93180YC-EX","Router Switch IGMP CVTA phone port","TenGigabitEthernet1/0/23","Ethernet1/47","Cisco Nexus Operating System (NX-OS) Software, Version 7.0(3)I7(8)",
"SKY-NX-B.sky.ncl.com(FDO20450754)","10.35.0.8","N9K-C93180YC-EX","Router Switch IGMP CVTA phone port","TenGigabitEthernet2/0/24","Ethernet1/48","Cisco Nexus Operating System (NX-OS) Software, Version 7.0(3)I7(8)",
"SKY-NX-B.sky.ncl.com(FDO20450754)","10.35.0.8","N9K-C93180YC-EX","Router Switch CVTA phone port","GigabitEthernet3/0/8","mgmt0","Cisco Nexus Operating System (NX-OS) Software, Version 7.0(3)I7(8)",
"SKY-CASINO-HUB307-B.sky.ncl.com","192.168.80.34","cisco WS-C2960XR-48FPS-I","Switch IGMP","TenGigabitEthernet1/0/6","GigabitEthernet1/0/49","Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(4)E6, RELEASE SOFTWARE (fc4)",
"SKY-WLC","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet1/0/10","GigabitEthernet0/0/1","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet2/0/10","GigabitEthernet0/0/2","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet1/0/11","GigabitEthernet0/0/3","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet2/0/11","GigabitEthernet0/0/4","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC-Standby","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet1/0/8","GigabitEthernet0/0/1","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC-Standby","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet2/0/8","GigabitEthernet0/0/2","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC-Standby","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet1/0/9","GigabitEthernet0/0/3","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKY-WLC-Standby","10.35.0.250","AIR-CT5508-K9","Host""TenGigabitEthernet2/0/9","GigabitEthernet0/0/4","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.5.151.0  RTOS Version: Erro  Bootloader Version: 1.0.1  Build Type: DATA + WPS",
"SKYISE01P","10.35.0.10","SNS-3515-K9","Host""GigabitEthernet3/0/4","eth0","Cisco Identity Services Engine version: 2.4.0.357 Copyright (c) 2019 Cisco Systems.",
"SKY-HUB-307-CASINO.sky.ncl.com","10.35.0.103","cisco WS-C4506-E","Router Switch IGMP","TenGigabitEthernet2/0/3","TenGigabitEthernet1/2","Cisco IOS Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 15.2(2)E9, RELEASE SOFTWARE (fc4)",
"SKY-HUB-307-CASINO.sky.ncl.com","10.35.0.103","cisco WS-C4506-E","Router Switch IGMP","TenGigabitEthernet1/0/3","TenGigabitEthernet1/1","Cisco IOS Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 15.2(2)E9, RELEASE SOFTWARE (fc4)",
"SKY-HUB-110-BRIDGE.sky.ncl.com","10.35.0.105","cisco WS-C2960XR-48FPS-I","Switch IGMP","TenGigabitEthernet2/0/12","GigabitEthernet1/0/50","Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E7, RELEASE SOFTWARE (fc3)",
"SKY-HUB-110-BRIDGE.sky.ncl.com","10.35.0.105","cisco WS-C2960XR-48FPS-I","Switch IGMP","TenGigabitEthernet1/0/12","GigabitEthernet1/0/49","Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(2)E7, RELEASE SOFTWARE (fc3)",
"SKY-HUB-203.sky.ncl.com","10.35.0.100","cisco WS-C2960XR-48FPS-I","Switch IGMP","TenGigabitEthernet2/0/1","GigabitEthernet2/0/49","Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(4)E6, RELEASE SOFTWARE (fc4)",
"SKY-HUB-203.sky.ncl.com","10.35.0.100","cisco WS-C2960XR-48FPS-I","Switch IGMP","TenGigabitEthernet1/0/1","GigabitEthernet1/0/49","Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(4)E6, RELEASE SOFTWARE (fc4)",
"SKY-HUB-210.sky.ncl.com","10.35.0.102","cisco WS-C2960XR-48FPS-I","Switch IGMP","TenGigabitEthernet2/0/2","GigabitEthernet3/0/49","Cisco IOS Software, C2960X Software (C2960X-UNIVERSALK9-M), Version 15.2(4)E6, RELEASE SOFTWARE (fc4)",
