"Hostname","IP","Platform","Capabilities","Local Interface","Remote Interface","Version"
"ENCORE-HUB305-B.encore.ncl.com","10.70.0.112","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/2/13","TenGigabitEthernet6/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB305-B.encore.ncl.com","10.70.0.112","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/2/13","TenGigabitEthernet6/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB305-B.encore.ncl.com","10.70.0.112","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet1/1/13","TenGigabitEthernet5/1","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB305-B.encore.ncl.com","10.70.0.112","cisco WS-C4510R+E","Switch IGMP","TenGigabitEthernet2/1/13","TenGigabitEthernet5/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
"ENCORE-HUB305-Encoder.encore.ncl.com","10.70.0.212","cisco WS-C3850-48T","Switch IGMP","TenGigabitEthernet2/5/13","TenGigabitEthernet1/1/4","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-HUB305-Encoder.encore.ncl.com","10.70.0.212","cisco WS-C3850-48T","Switch IGMP","TenGigabitEthernet1/5/13","TenGigabitEthernet1/1/3","Cisco IOS Software [Denali], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.3.6, RELEASE SOFTWARE (fc3)"
"ENCORE-WLC-Standby","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet2/1/32","TenGigabitEthernet0/0/1","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-WLC-Standby","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet2/5/32","TenGigabitEthernet0/0/2","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-WLC-Standby","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet2/6/1","TenGigabitEthernet0/0/3","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-WLC-Standby","10.70.0.250","AIR-CT8540-K9","Host","TenGigabitEthernet2/6/2","TenGigabitEthernet0/0/4","Manufacturer's Name: Cisco Systems Inc.  Product Name: Cisco Controller  Product Version: 8.8.125.0  RTOS Version: 8.8.125.0  Bootloader Version: 8.1.102.0  Build Type: DATA + WPS"
"ENCORE-HUB504-A.Encore.ncl.com","10.70.0.121","cisco WS-C4507R+E","Switch IGMP","TenGigabitEthernet2/2/22","TenGigabitEthernet4/2","Cisco IOS Software, IOS-XE Software, Catalyst 4500 L3 Switch  Software (cat4500es8-UNIVERSALK9-M), Version 03.08.06.E RELEASE SOFTWARE (fc4)"
